tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387270.5,3899120.5,53.1
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387284.5,3899120.5,53.09
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387290.5,3899120.5,54.46
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387302.5,3899120.5,56.14
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387306.5,3899120.5,55.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387332.5,3899120.5,55.23
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387342.5,3899120.5,55.34
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387378.5,3899120.5,56.48
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387656.5,3899120.5,55.72
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387667.5,3899120.5,54.65
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387679.5,3899120.5,51.87
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387876.5,3899120.5,57.79
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387893.5,3899120.5,59.78
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387114.5,3899119.5,51.29
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387119.5,3899119.5,51.08
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387159.5,3899119.5,54.44
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387179.5,3899119.5,50.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387183.5,3899119.5,50.23
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387208.5,3899119.5,54.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387314.5,3899119.5,56.99
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387349.5,3899119.5,55.36
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387636.5,3899119.5,58.85
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387683.5,3899119.5,50.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387709.5,3899119.5,49.02
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387743.5,3899119.5,49.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387069.5,3899118.5,58.01
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387371.5,3899118.5,55.31
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387715.5,3899118.5,48.43
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386106.5,3899117.5,55.0
